underlying,expiry,option_type,strike,contract_key,open_date,close_date,open_process_date,close_process_date,quantity,entry_price,exit_price,pnl_per_contract_dollars,total_pnl_dollars,result,holding_days,source_file_open,source_file_close,description
NOK,1/16/2026,C,10.0,NOK|1/16/2026|C|10.0,2025-10-28,2025-12-04,2025-10-28,2025-12-04,4,0.56,0.02,-54.0,-216.0,LOSS,37,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,NOK 1/16/2026 Call $10.00
TMQ,3/20/2026,C,5.0,TMQ|3/20/2026|C|5.0,2025-10-07,2025-12-04,2025-10-07,2025-12-04,1,3.49,1.05,-244.0,-244.0,LOSS,58,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,TMQ 3/20/2026 Call $5.00
SPY,12/10/2025,C,688.0,SPY|12/10/2025|C|688.0,2025-12-09,2025-12-09,2025-12-09,2025-12-09,1,1.24,0.55,-69.0,-69.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 12/10/2025 Call $688.00
SPY,12/10/2025,P,680.0,SPY|12/10/2025|P|680.0,2025-12-09,2025-12-10,2025-12-09,2025-12-10,1,1.08,0.42,-66.0,-66.0,LOSS,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 12/10/2025 Put $680.00
BBWI,12/19/2025,C,21.0,BBWI|12/19/2025|C|21.0,2025-11-25,2025-12-16,2025-11-25,2025-12-16,12,0.15,0.06,-9.0,-108.0,LOSS,21,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,BBWI 12/19/2025 Call $21.00
BBWI,12/19/2025,C,21.0,BBWI|12/19/2025|C|21.0,2025-11-25,2025-12-16,2025-11-25,2025-12-16,4,0.1,0.06,-4.0,-16.0,LOSS,21,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,BBWI 12/19/2025 Call $21.00
BBWI,12/19/2025,C,21.0,BBWI|12/19/2025|C|21.0,2025-11-25,2025-12-16,2025-11-25,2025-12-16,1,0.1,0.05,-5.0,-5.0,LOSS,21,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,BBWI 12/19/2025 Call $21.00
JD,1/16/2026,C,37.5,JD|1/16/2026|C|37.5,2025-10-24,2025-12-16,2025-10-24,2025-12-16,3,1.79,0.03,-176.0,-528.0,LOSS,53,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,JD 1/16/2026 Call $37.50
TMQ,3/20/2026,C,5.0,TMQ|3/20/2026|C|5.0,2025-10-07,2025-12-16,2025-10-07,2025-12-16,2,3.49,0.84,-265.0,-530.0,LOSS,70,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,TMQ 3/20/2026 Call $5.00
SPY,12/19/2025,C,685.0,SPY|12/19/2025|C|685.0,2025-12-17,2025-12-17,2025-12-17,2025-12-17,1,1.06,0.79,-27.0,-27.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 12/19/2025 Call $685.00
BBAI,1/16/2026,C,10.0,BBAI|1/16/2026|C|10.0,2025-10-10,2025-12-26,2025-10-10,2025-12-26,1,1.4,0.03,-137.0,-137.0,LOSS,77,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,BBAI 1/16/2026 Call $10.00
BBAI,1/16/2026,C,10.0,BBAI|1/16/2026|C|10.0,2025-10-10,2025-12-26,2025-10-10,2025-12-26,1,1.4,0.03,-137.0,-137.0,LOSS,77,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,BBAI 1/16/2026 Call $10.00
BBAI,1/16/2026,C,10.0,BBAI|1/16/2026|C|10.0,2025-10-10,2025-12-26,2025-10-10,2025-12-26,1,1.4,0.03,-137.0,-137.0,LOSS,77,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,BBAI 1/16/2026 Call $10.00
BBWI,1/2/2026,C,19.5,BBWI|1/2/2026|C|19.5,2025-12-17,2025-12-26,2025-12-17,2025-12-26,1,1.07,0.5,-57.0,-57.0,LOSS,9,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,BBWI 1/2/2026 Call $19.50
JD,1/16/2026,C,37.5,JD|1/16/2026|C|37.5,2025-10-24,2025-12-26,2025-10-24,2025-12-26,2,1.79,0.01,-178.0,-356.0,LOSS,63,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,JD 1/16/2026 Call $37.50
CVS,2/13/2026,P,77.0,CVS|2/13/2026|P|77.0,2026-02-10,2026-02-10,2026-02-10,2026-02-10,1,0.77,0.57,-20.0,-20.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,CVS 2/13/2026 Put $77.00
HIMS,2/13/2026,P,16.0,HIMS|2/13/2026|P|16.0,2026-02-10,2026-02-10,2026-02-10,2026-02-10,10,0.14,0.13,-1.0,-10.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,HIMS 2/13/2026 Put $16.00
HIMS,2/13/2026,P,17.5,HIMS|2/13/2026|P|17.5,2026-02-10,2026-02-11,2026-02-10,2026-02-11,1,0.75,0.63,-12.0,-12.0,LOSS,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,HIMS 2/13/2026 Put $17.50
CVS,2/13/2026,C,77.0,CVS|2/13/2026|C|77.0,2026-02-11,2026-02-12,2026-02-11,2026-02-12,3,0.49,1.13,64.0,192.0,WIN,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,CVS 2/13/2026 Call $77.00
BBWI,2/13/2026,C,22.5,BBWI|2/13/2026|C|22.5,2026-02-12,2026-02-13,2026-02-12,2026-02-13,1,1.0,1.3,30.0,30.0,WIN,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,BBWI 2/13/2026 Call $22.50
SPY,2/17/2026,C,682.0,SPY|2/17/2026|C|682.0,2026-02-17,2026-02-17,2026-02-17,2026-02-17,1,1.26,1.49,23.0,23.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/17/2026 Call $682.00
MRNA,2/20/2026,C,43.0,MRNA|2/20/2026|C|43.0,2026-02-13,2026-02-18,2026-02-13,2026-02-18,1,1.85,3.45,160.0,160.0,WIN,5,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,MRNA 2/20/2026 Call $43.00
MRNA,2/20/2026,C,44.0,MRNA|2/20/2026|C|44.0,2026-02-13,2026-02-18,2026-02-13,2026-02-18,1,1.58,2.92,134.0,134.0,WIN,5,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,MRNA 2/20/2026 Call $44.00
SPY,2/18/2026,P,686.0,SPY|2/18/2026|P|686.0,2026-02-18,2026-02-18,2026-02-18,2026-02-18,1,0.51,0.59,8.0,8.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/18/2026 Put $686.00
SPY,2/20/2026,C,693.0,SPY|2/20/2026|C|693.0,2026-02-17,2026-02-18,2026-02-17,2026-02-18,1,0.95,1.24,29.0,29.0,WIN,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/20/2026 Call $693.00
AMZN,2/20/2026,P,200.0,AMZN|2/20/2026|P|200.0,2026-02-19,2026-02-19,2026-02-19,2026-02-19,1,0.88,0.4,-48.0,-48.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,AMZN 2/20/2026 Put $200.00
SPY,2/19/2026,C,683.0,SPY|2/19/2026|C|683.0,2026-02-19,2026-02-19,2026-02-19,2026-02-19,1,1.23,1.02,-21.0,-21.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/19/2026 Call $683.00
SPY,2/19/2026,C,684.0,SPY|2/19/2026|C|684.0,2026-02-19,2026-02-19,2026-02-19,2026-02-19,1,0.7,0.52,-18.0,-18.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/19/2026 Call $684.00
SPY,2/19/2026,P,680.0,SPY|2/19/2026|P|680.0,2026-02-19,2026-02-19,2026-02-19,2026-02-19,1,0.99,0.5,-49.0,-49.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/19/2026 Put $680.00
SPY,2/19/2026,P,681.0,SPY|2/19/2026|P|681.0,2026-02-19,2026-02-19,2026-02-19,2026-02-19,1,0.43,0.03,-40.0,-40.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/19/2026 Put $681.00
SPY,2/19/2026,P,681.0,SPY|2/19/2026|P|681.0,2026-02-19,2026-02-19,2026-02-19,2026-02-19,1,0.94,0.61,-33.0,-33.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/19/2026 Put $681.00
SPY,2/19/2026,P,683.0,SPY|2/19/2026|P|683.0,2026-02-19,2026-02-19,2026-02-19,2026-02-19,1,1.66,0.7,-96.0,-96.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/19/2026 Put $683.00
SPY,2/19/2026,P,685.0,SPY|2/19/2026|P|685.0,2026-02-19,2026-02-19,2026-02-19,2026-02-19,1,1.77,3.4,163.0,163.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/19/2026 Put $685.00
MRNA,2/20/2026,C,48.0,MRNA|2/20/2026|C|48.0,2026-02-18,2026-02-20,2026-02-18,2026-02-20,1,1.12,0.64,-48.0,-48.0,LOSS,2,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,MRNA 2/20/2026 Call $48.00
MRNA,2/20/2026,P,48.0,MRNA|2/20/2026|P|48.0,2026-02-19,2026-02-20,2026-02-19,2026-02-20,2,0.32,0.15,-17.0,-34.0,LOSS,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,MRNA 2/20/2026 Put $48.00
SPY,2/20/2026,P,688.0,SPY|2/20/2026|P|688.0,2026-02-20,2026-02-20,2026-02-20,2026-02-20,1,0.66,0.59,-7.0,-7.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/20/2026 Put $688.00
SPY,2/23/2026,C,689.0,SPY|2/23/2026|C|689.0,2026-02-20,2026-02-23,2026-02-20,2026-02-23,1,1.78,0.73,-105.0,-105.0,LOSS,3,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/23/2026 Call $689.00
SPY,2/23/2026,P,680.0,SPY|2/23/2026|P|680.0,2026-02-23,2026-02-23,2026-02-23,2026-02-23,1,0.41,0.08,-33.0,-33.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/23/2026 Put $680.00
SPY,2/23/2026,P,680.0,SPY|2/23/2026|P|680.0,2026-02-23,2026-02-23,2026-02-23,2026-02-23,1,0.69,0.5,-19.0,-19.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/23/2026 Put $680.00
SPY,2/23/2026,P,680.0,SPY|2/23/2026|P|680.0,2026-02-23,2026-02-23,2026-02-23,2026-02-23,1,0.79,0.73,-6.0,-6.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/23/2026 Put $680.00
SPY,2/23/2026,P,684.0,SPY|2/23/2026|P|684.0,2026-02-23,2026-02-23,2026-02-23,2026-02-23,1,1.49,3.49,200.0,200.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/23/2026 Put $684.00
SPY,2/23/2026,P,686.0,SPY|2/23/2026|P|686.0,2026-02-23,2026-02-23,2026-02-23,2026-02-23,1,1.5,2.09,59.0,59.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/23/2026 Put $686.00
AMZN,2/25/2026,C,207.5,AMZN|2/25/2026|C|207.5,2026-02-24,2026-02-24,2026-02-24,2026-02-24,1,1.1,3.05,195.0,195.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,AMZN 2/25/2026 Call $207.50
AMZN,2/25/2026,C,207.5,AMZN|2/25/2026|C|207.5,2026-02-24,2026-02-24,2026-02-24,2026-02-24,1,1.1,2.5,140.0,140.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,AMZN 2/25/2026 Call $207.50
MRNA,2/27/2026,C,48.5,MRNA|2/27/2026|C|48.5,2026-02-20,2026-02-24,2026-02-20,2026-02-24,1,1.89,3.17,128.0,128.0,WIN,4,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,MRNA 2/27/2026 Call $48.50
SPY,2/24/2026,C,684.0,SPY|2/24/2026|C|684.0,2026-02-24,2026-02-24,2026-02-24,2026-02-24,1,1.68,2.07,39.0,39.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/24/2026 Call $684.00
SPY,2/24/2026,C,684.0,SPY|2/24/2026|C|684.0,2026-02-24,2026-02-24,2026-02-24,2026-02-24,1,1.68,2.58,90.0,90.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/24/2026 Call $684.00
SPY,2/24/2026,C,687.0,SPY|2/24/2026|C|687.0,2026-02-24,2026-02-24,2026-02-24,2026-02-24,1,0.56,0.56,0.0,0.0,FLAT,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/24/2026 Call $687.00
SPY,2/24/2026,P,685.0,SPY|2/24/2026|P|685.0,2026-02-24,2026-02-24,2026-02-24,2026-02-24,1,0.95,0.74,-21.0,-21.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/24/2026 Put $685.00
SPY,2/24/2026,P,686.0,SPY|2/24/2026|P|686.0,2026-02-24,2026-02-24,2026-02-24,2026-02-24,1,0.32,0.13,-19.0,-19.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/24/2026 Put $686.00
SPY,2/24/2026,P,686.0,SPY|2/24/2026|P|686.0,2026-02-24,2026-02-24,2026-02-24,2026-02-24,1,0.32,0.13,-19.0,-19.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/24/2026 Put $686.00
MSFT,2/25/2026,C,402.5,MSFT|2/25/2026|C|402.5,2026-02-25,2026-02-25,2026-02-25,2026-02-25,1,0.27,0.25,-2.0,-2.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,MSFT 2/25/2026 Call $402.50
MSFT,2/25/2026,C,402.5,MSFT|2/25/2026|C|402.5,2026-02-25,2026-02-25,2026-02-25,2026-02-25,1,0.27,0.25,-2.0,-2.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,MSFT 2/25/2026 Call $402.50
SPY,2/25/2026,C,690.0,SPY|2/25/2026|C|690.0,2026-02-25,2026-02-25,2026-02-25,2026-02-25,1,2.51,3.3,79.0,79.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/25/2026 Call $690.00
SPY,2/25/2026,P,690.0,SPY|2/25/2026|P|690.0,2026-02-25,2026-02-25,2026-02-25,2026-02-25,1,0.84,0.69,-15.0,-15.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/25/2026 Put $690.00
MSFT,2/27/2026,C,405.0,MSFT|2/27/2026|C|405.0,2026-02-25,2026-02-26,2026-02-25,2026-02-26,1,1.46,3.5,204.0,204.0,WIN,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,MSFT 2/27/2026 Call $405.00
MSFT,2/27/2026,C,410.0,MSFT|2/27/2026|C|410.0,2026-02-26,2026-02-26,2026-02-26,2026-02-26,1,1.67,0.86,-81.0,-81.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,MSFT 2/27/2026 Call $410.00
SPY,2/26/2026,C,689.0,SPY|2/26/2026|C|689.0,2026-02-26,2026-02-26,2026-02-26,2026-02-26,1,0.96,0.56,-40.0,-40.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/26/2026 Call $689.00
SPY,2/26/2026,C,693.0,SPY|2/26/2026|C|693.0,2026-02-26,2026-02-26,2026-02-26,2026-02-26,1,1.58,1.03,-55.0,-55.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/26/2026 Call $693.00
SPY,2/26/2026,P,680.0,SPY|2/26/2026|P|680.0,2026-02-26,2026-02-26,2026-02-26,2026-02-26,1,0.19,0.1,-9.0,-9.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/26/2026 Put $680.00
SPY,2/26/2026,P,683.0,SPY|2/26/2026|P|683.0,2026-02-26,2026-02-26,2026-02-26,2026-02-26,1,0.66,0.54,-12.0,-12.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/26/2026 Put $683.00
SPY,2/26/2026,P,684.0,SPY|2/26/2026|P|684.0,2026-02-26,2026-02-26,2026-02-26,2026-02-26,1,0.46,0.04,-42.0,-42.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/26/2026 Put $684.00
SPY,2/26/2026,P,685.0,SPY|2/26/2026|P|685.0,2026-02-25,2026-02-26,2026-02-25,2026-02-26,1,0.77,0.08,-69.0,-69.0,LOSS,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/26/2026 Put $685.00
SPY,2/26/2026,P,685.0,SPY|2/26/2026|P|685.0,2026-02-26,2026-02-26,2026-02-26,2026-02-26,1,0.85,0.61,-24.0,-24.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/26/2026 Put $685.00
SPY,2/26/2026,P,685.0,SPY|2/26/2026|P|685.0,2026-02-26,2026-02-26,2026-02-26,2026-02-26,1,0.73,1.18,45.0,45.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/26/2026 Put $685.00
SPY,2/26/2026,P,690.0,SPY|2/26/2026|P|690.0,2026-02-26,2026-02-26,2026-02-26,2026-02-26,1,1.67,3.71,204.0,204.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/26/2026 Put $690.00
SPY,2/27/2026,C,685.0,SPY|2/27/2026|C|685.0,2026-02-27,2026-02-27,2026-02-27,2026-02-27,1,2.0,1.86,-14.0,-14.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/27/2026 Call $685.00
SPY,2/27/2026,P,681.0,SPY|2/27/2026|P|681.0,2026-02-27,2026-02-27,2026-02-27,2026-02-27,3,1.67,0.01,-166.0,-498.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 2/27/2026 Put $681.00
UNP,2/27/2026,C,265.0,UNP|2/27/2026|C|265.0,2026-02-26,2026-02-27,2026-02-26,2026-02-27,1,1.9,0.6,-130.0,-130.0,LOSS,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,UNP 2/27/2026 Call $265.00
XYZ,2/27/2026,P,60.0,XYZ|2/27/2026|P|60.0,2026-02-27,2026-02-27,2026-02-27,2026-02-27,1,0.48,0.36,-12.0,-12.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,XYZ 2/27/2026 Put $60.00
XYZ,2/27/2026,P,60.0,XYZ|2/27/2026|P|60.0,2026-02-27,2026-02-27,2026-02-27,2026-02-27,1,0.48,0.36,-12.0,-12.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,XYZ 2/27/2026 Put $60.00
XYZ,2/27/2026,P,60.0,XYZ|2/27/2026|P|60.0,2026-02-27,2026-02-27,2026-02-27,2026-02-27,1,0.48,0.36,-12.0,-12.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,XYZ 2/27/2026 Put $60.00
XYZ,2/27/2026,P,60.0,XYZ|2/27/2026|P|60.0,2026-02-27,2026-02-27,2026-02-27,2026-02-27,1,0.48,0.36,-12.0,-12.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,XYZ 2/27/2026 Put $60.00
CVS,3/20/2026,C,80.0,CVS|3/20/2026|C|80.0,2026-02-10,2026-03-02,2026-02-10,2026-03-02,1,1.48,2.27,79.0,79.0,WIN,20,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,CVS 3/20/2026 Call $80.00
AMZN,3/4/2026,C,212.5,AMZN|3/4/2026|C|212.5,2026-03-03,2026-03-03,2026-03-03,2026-03-03,2,0.15,0.4,25.0,50.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,AMZN 3/4/2026 Call $212.50
AMZN,3/4/2026,C,212.5,AMZN|3/4/2026|C|212.5,2026-03-03,2026-03-03,2026-03-03,2026-03-03,1,0.15,0.4,25.0,25.0,WIN,0,APRIL1 TO APRIL 10 26.csv,MARCH1 TO APRIL 15 26.csv,AMZN 3/4/2026 Call $212.50
AMZN,3/4/2026,C,212.5,AMZN|3/4/2026|C|212.5,2026-03-03,2026-03-03,2026-03-03,2026-03-03,1,0.15,0.4,25.0,25.0,WIN,0,MARCH1 TO APRIL 15 26.csv,MARCH1 TO APRIL 15 26.csv,AMZN 3/4/2026 Call $212.50
SPY,3/3/2026,C,682.0,SPY|3/3/2026|C|682.0,2026-03-03,2026-03-03,2026-03-03,2026-03-03,1,0.19,1.37,118.0,118.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 3/3/2026 Call $682.00
SPY,3/3/2026,C,682.0,SPY|3/3/2026|C|682.0,2026-03-03,2026-03-03,2026-03-03,2026-03-03,1,0.19,0.7,51.0,51.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 3/3/2026 Call $682.00
SPY,3/3/2026,C,682.0,SPY|3/3/2026|C|682.0,2026-03-03,2026-03-03,2026-03-03,2026-03-03,1,0.19,1.37,118.0,118.0,WIN,0,MARCH1 TO APRIL 15 26.csv,MARCH1 TO APRIL 15 26.csv,SPY 3/3/2026 Call $682.00
SPY,3/3/2026,C,682.0,SPY|3/3/2026|C|682.0,2026-03-03,2026-03-03,2026-03-03,2026-03-03,1,0.19,0.7,51.0,51.0,WIN,0,MARCH1 TO APRIL 15 26.csv,MARCH1 TO APRIL 15 26.csv,SPY 3/3/2026 Call $682.00
SPY,3/3/2026,C,684.0,SPY|3/3/2026|C|684.0,2026-03-03,2026-03-03,2026-03-03,2026-03-03,1,0.2,0.01,-19.0,-19.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 3/3/2026 Call $684.00
SPY,3/3/2026,C,684.0,SPY|3/3/2026|C|684.0,2026-03-03,2026-03-03,2026-03-03,2026-03-03,1,0.2,0.01,-19.0,-19.0,LOSS,0,MARCH1 TO APRIL 15 26.csv,MARCH1 TO APRIL 15 26.csv,SPY 3/3/2026 Call $684.00
SPY,3/3/2026,P,673.0,SPY|3/3/2026|P|673.0,2026-03-03,2026-03-03,2026-03-03,2026-03-03,1,1.76,4.07,231.0,231.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 3/3/2026 Put $673.00
SPY,3/3/2026,P,673.0,SPY|3/3/2026|P|673.0,2026-03-03,2026-03-03,2026-03-03,2026-03-03,1,1.76,4.07,231.0,231.0,WIN,0,MARCH1 TO APRIL 15 26.csv,MARCH1 TO APRIL 15 26.csv,SPY 3/3/2026 Put $673.00
AMZN,3/4/2026,C,212.5,AMZN|3/4/2026|C|212.5,2026-03-03,2026-03-04,2026-03-03,2026-03-04,1,0.15,2.44,229.0,229.0,WIN,1,MARCH1 TO APRIL 15 26.csv,APRIL1 TO APRIL 10 26.csv,AMZN 3/4/2026 Call $212.50
AMZN,3/4/2026,C,212.5,AMZN|3/4/2026|C|212.5,2026-03-03,2026-03-04,2026-03-03,2026-03-04,1,0.15,2.44,229.0,229.0,WIN,1,MARCH1 TO APRIL 15 26.csv,MARCH1 TO APRIL 15 26.csv,AMZN 3/4/2026 Call $212.50
AMZN,3/4/2026,C,215.0,AMZN|3/4/2026|C|215.0,2026-03-03,2026-03-04,2026-03-03,2026-03-04,1,0.12,1.45,133.0,133.0,WIN,1,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,AMZN 3/4/2026 Call $215.00
AMZN,3/4/2026,C,215.0,AMZN|3/4/2026|C|215.0,2026-03-03,2026-03-04,2026-03-03,2026-03-04,1,0.12,1.45,133.0,133.0,WIN,1,MARCH1 TO APRIL 15 26.csv,MARCH1 TO APRIL 15 26.csv,AMZN 3/4/2026 Call $215.00
SPY,3/4/2026,C,683.0,SPY|3/4/2026|C|683.0,2026-03-04,2026-03-04,2026-03-04,2026-03-04,1,2.33,3.76,143.0,143.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 3/4/2026 Call $683.00
SPY,3/4/2026,C,683.0,SPY|3/4/2026|C|683.0,2026-03-04,2026-03-04,2026-03-04,2026-03-04,1,2.33,3.76,143.0,143.0,WIN,0,MARCH1 TO APRIL 15 26.csv,MARCH1 TO APRIL 15 26.csv,SPY 3/4/2026 Call $683.00
SPY,3/4/2026,C,687.0,SPY|3/4/2026|C|687.0,2026-03-04,2026-03-04,2026-03-04,2026-03-04,1,0.45,0.76,31.0,31.0,WIN,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 3/4/2026 Call $687.00
SPY,3/4/2026,C,687.0,SPY|3/4/2026|C|687.0,2026-03-04,2026-03-04,2026-03-04,2026-03-04,1,0.45,0.76,31.0,31.0,WIN,0,MARCH1 TO APRIL 15 26.csv,MARCH1 TO APRIL 15 26.csv,SPY 3/4/2026 Call $687.00
SPY,3/4/2026,C,690.0,SPY|3/4/2026|C|690.0,2026-03-04,2026-03-04,2026-03-04,2026-03-04,1,0.06,0.01,-5.0,-5.0,LOSS,0,APRIL1 TO APRIL 10 26.csv,APRIL1 TO APRIL 10 26.csv,SPY 3/4/2026 Call $690.00
